date,position_count,gross_market_value,net_market_value,gross_exposure,net_exposure,cash_proxy,turnover,turnover_rate,missing_price_count,forward_filled_price_count,fill_price_fallback_count
2025-09-24 00:00:00,2,991681.0,991681.0,0.9126218574741283,0.9126218574741283,94947.5875999995,493276.0,0.45395087671076495,2,0,2
2025-09-25 00:00:00,2,991681.0,991681.0,0.9040771965709116,0.9040771965709116,105217.5875999995,0.0,0.0,2,0,2
2025-09-26 00:00:00,1,493276.0,493276.0,0.4504466638235602,0.4504466638235602,601805.9255999997,515540.0,0.47077756279972716,1,0,1
2025-09-29 00:00:00,1,491640.0,491640.0,0.466381500453651,0.466381500453651,562518.4507999995,984916.0,0.9343149497616307,1,0,1
2025-09-30 00:00:00,1,516600.0,516600.0,0.4969272318965359,0.4969272318965359,522988.83079999953,965400.0,0.928636371802005,1,0,1
2025-10-09 00:00:00,2,1016324.0,1016324.0,0.9988884877502846,0.9988884877502846,1130.913599999505,499724.00000000006,0.4911510017007601,2,0,2
2025-10-10 00:00:00,2,1016324.0,1016324.0,1.012050199448865,1.012050199448865,-12101.086400000378,0.0,0.0,2,0,2
2025-10-13 00:00:00,1,499724.00000000006,499724.00000000006,0.4992383950067797,0.4992383950067797,501248.6915999995,460740.0,0.4602922775680649,1,0,1
2025-10-14 00:00:00,1,504107.99999999994,504107.99999999994,0.5125886683892774,0.5125886683892774,479347.21679999965,1004916.0,1.0218218204890206,1,0,1
2025-10-15 00:00:00,2,1007838.0,1007838.0,0.9913010194443893,0.9913010194443893,8844.09779999964,503730.0,0.49546461090445315,2,0,2
2025-10-16 00:00:00,2,1007838.0,1007838.0,1.0096997876598057,1.0096997876598057,-9681.90220000036,0.0,0.0,2,0,2
2025-10-17 00:00:00,1,503730.0,503730.0,0.5045215120658773,0.5045215120658773,494701.16289999953,519782.99999999994,0.5205997361803701,1,0,1
2025-10-20 00:00:00,1,490000.00000000006,490000.00000000006,0.4813709733436092,0.4813709733436092,527925.9388999995,984080.0,0.9667500968326099,1,0,1
2025-10-21 00:00:00,2,985012.0,985012.0,0.910758383313694,0.910758383313694,96517.43529999955,495012.0,0.4576962806959492,2,0,2
2025-10-22 00:00:00,1,490000.00000000006,490000.00000000006,0.44970823949525063,0.44970823949525063,599595.3352999995,567000.0,0.5203766771302185,1,0,1
2025-10-23 00:00:00,1,493679.99999999994,493679.99999999994,0.4340703241895551,0.4340703241895551,643647.2312999996,993680.0,0.8736975363407008,1,0,1
2025-10-24 00:00:00,2,987359.9999999999,987359.9999999999,0.8908127138588101,0.8908127138588101,121021.1272999997,493679.99999999994,0.44540635692940506,2,0,2
2025-10-27 00:00:00,2,987359.9999999999,987359.9999999999,0.827571551847814,0.827571551847814,205721.1272999997,0.0,0.0,2,0,2
2025-10-28 00:00:00,1,493679.99999999994,493679.99999999994,0.4155713100808014,0.4155713100808014,694274.9622999998,550550.0,0.4634434953106977,1,0,1
2025-10-29 00:00:00,1,498790.0,498790.0,0.4211142935242407,0.4211142935242407,685662.7902999998,1037240.0,0.8757124036469925,1,0,1
2025-10-30 00:00:00,2,994714.0,994714.0,0.8590442683946802,0.8590442683946802,163217.01309999963,495924.0,0.42828458206013326,2,0,2
2025-10-31 00:00:00,1,495924.0,495924.0,0.424102834999988,0.424102834999988,673424.4670999995,471820.0,0.4034896468202675,1,0,1
2025-11-03 00:00:00,2,996856.0,996856.0,0.8590326418697908,0.8590326418697908,163584.18749999953,500932.0,0.43167412279919876,2,0,2
